Trading day,Product,MIBGAS Daily Price [EUR/MWh]
31/12/2021,GDAES_D+1,62.44
31/12/2021,GMAES,62.7
30/12/2021,GDAES_D+1,76.81
30/12/2021,GMAES,86
30/12/2021,GQES_Q+1,95.51
30/12/2021,GYES_Y+1,90.11
29/12/2021,GDAES_D+1,90
29/12/2021,GMAES,97
29/12/2021,GQES_Q+1,95.51
29/12/2021,GYES_Y+1,90.11
28/12/2021,GDAES_D+1,94
28/12/2021,GMAES,99.35
28/12/2021,GQES_Q+1,105.31
28/12/2021,GYES_Y+1,95.21
27/12/2021,GDAES_D+1,98.5
27/12/2021,GMAES,96
27/12/2021,GQES_Q+1,105.82
27/12/2021,GYES_Y+1,96.89
26/12/2021,GDAES_D+1,81.05
25/12/2021,GDAES_D+1,67.38
24/12/2021,GDAES_D+1,100.97
24/12/2021,GMAES,109.25
24/12/2021,GQES_Q+1,108.25
24/12/2021,GYES_Y+1,99.12
23/12/2021,GDAES_D+1,126.78
23/12/2021,GMAES,132.23
23/12/2021,GQES_Q+1,130.24
23/12/2021,GYES_Y+1,113.01
22/12/2021,GDAES_D+1,171.25
22/12/2021,GMAES,172
22/12/2021,GQES_Q+1,162.07
22/12/2021,GYES_Y+1,138.27
21/12/2021,GDAES_D+1,183
21/12/2021,GMAES,172
21/12/2021,GQES_Q+1,175.92
21/12/2021,GYES_Y+1,138.48
20/12/2021,GDAES_D+1,148.44
20/12/2021,GMAES,147.25
20/12/2021,GQES_Q+1,142.71
20/12/2021,GYES_Y+1,104.83
19/12/2021,GDAES_D+1,162.27
18/12/2021,GDAES_D+1,146.5
17/12/2021,GDAES_D+1,136.67
17/12/2021,GMAES,136.8
17/12/2021,GQES_Q+1,132.01
17/12/2021,GYES_Y+1,94.33
16/12/2021,GDAES_D+1,138.68
16/12/2021,GMAES,136.8
16/12/2021,GQES_Q+1,136.33
16/12/2021,GYES_Y+1,92.51
15/12/2021,GDAES_D+1,125.08
15/12/2021,GMAES,128.5
15/12/2021,GQES_Q+1,124.18
15/12/2021,GYES_Y+1,82.64
14/12/2021,GDAES_D+1,129.5
14/12/2021,GMAES,124.95
14/12/2021,GQES_Q+1,125.46
14/12/2021,GYES_Y+1,86.01
13/12/2021,GDAES_D+1,118.21
13/12/2021,GMAES,118.8
13/12/2021,GQES_Q+1,114.37
13/12/2021,GYES_Y+1,83.35
12/12/2021,GDAES_D+1,113.24
11/12/2021,GDAES_D+1,109.06
10/12/2021,GDAES_D+1,107.04
10/12/2021,GMAES,105.95
10/12/2021,GQES_Q+1,103.95
10/12/2021,GYES_Y+1,78.28
09/12/2021,GDAES_D+1,101.08
09/12/2021,GMAES,101
09/12/2021,GQES_Q+1,99.31
09/12/2021,GYES_Y+1,72.22
08/12/2021,GDAES_D+1,103.98
08/12/2021,GMAES,103.9
08/12/2021,GQES_Q+1,101.05
08/12/2021,GYES_Y+1,75.58
07/12/2021,GDAES_D+1,95.49
07/12/2021,GMAES,98.5
07/12/2021,GQES_Q+1,95.69
07/12/2021,GYES_Y+1,66.84
06/12/2021,GDAES_D+1,91
06/12/2021,GMAES,91.85
06/12/2021,GQES_Q+1,89.74
06/12/2021,GYES_Y+1,60.46
05/12/2021,GDAES_D+1,90.21
04/12/2021,GDAES_D+1,89.77
03/12/2021,GDAES_D+1,92.7
03/12/2021,GMAES,93.1
03/12/2021,GQES_Q+1,89.27
03/12/2021,GYES_Y+1,58.04
02/12/2021,GDAES_D+1,96.07
02/12/2021,GMAES,94.6
02/12/2021,GQES_Q+1,90.67
02/12/2021,GYES_Y+1,56.48
01/12/2021,GDAES_D+1,98.12
01/12/2021,GMAES,96.95
01/12/2021,GQES_Q+1,92.25
01/12/2021,GYES_Y+1,56.91
30/11/2021,GDAES_D+1,95.5
30/11/2021,GMAES,94.2
30/11/2021,GQES_Q+1,91.19
30/11/2021,GYES_Y+1,56.41
29/11/2021,GDAES_D+1,98.26
29/11/2021,GMAES,96.5
29/11/2021,GQES_Q+1,92.3
29/11/2021,GYES_Y+1,56.88
28/11/2021,GDAES_D+1,95.24
27/11/2021,GDAES_D+1,93.89
26/11/2021,GDAES_D+1,91.42
26/11/2021,GMAES,89.5
26/11/2021,GQES_Q+1,86.93
26/11/2021,GYES_Y+1,54.7
25/11/2021,GDAES_D+1,95.16
25/11/2021,GMAES,95.25
25/11/2021,GQES_Q+1,92.6
25/11/2021,GYES_Y+1,57.7
24/11/2021,GDAES_D+1,97.83
24/11/2021,GMAES,94.55
24/11/2021,GQES_Q+1,92.84
24/11/2021,GYES_Y+1,57.31
23/11/2021,GDAES_D+1,93.9
23/11/2021,GMAES,94
23/11/2021,GQES_Q+1,89.33
23/11/2021,GYES_Y+1,55.43
22/11/2021,GDAES_D+1,87.39
22/11/2021,GMAES,86.3
22/11/2021,GQES_Q+1,84.53
22/11/2021,GYES_Y+1,53.01
21/11/2021,GDAES_D+1,92.89
20/11/2021,GDAES_D+1,95.7
19/11/2021,GDAES_D+1,93.42
19/11/2021,GMAES,88.48
19/11/2021,GQES_Q+1,92.11
19/11/2021,GYES_Y+1,56.52
18/11/2021,GDAES_D+1,96.06
18/11/2021,GMAES,95.66
18/11/2021,GQES_Q+1,92.11
18/11/2021,GYES_Y+1,56.52
17/11/2021,GDAES_D+1,95.1
17/11/2021,GMAES,99.8
17/11/2021,GQES_Q+1,93.69
17/11/2021,GYES_Y+1,56.15
16/11/2021,GDAES_D+1,93.64
16/11/2021,GMAES,94.92
16/11/2021,GQES_Q+1,93.68
16/11/2021,GYES_Y+1,56.18
15/11/2021,GDAES_D+1,81.76
15/11/2021,GMAES,76.76
15/11/2021,GQES_Q+1,79.85
15/11/2021,GYES_Y+1,50.84
14/11/2021,GDAES_D+1,79.25
13/11/2021,GDAES_D+1,79
12/11/2021,GDAES_D+1,76.9
12/11/2021,GMAES,76.76
12/11/2021,GQES_Q+1,74.42
12/11/2021,GYES_Y+1,48.96
11/11/2021,GDAES_D+1,77.73
11/11/2021,GMAES,73.8
11/11/2021,GQES_Q+1,74.42
11/11/2021,GYES_Y+1,48.96
10/11/2021,GDAES_D+1,72.96
10/11/2021,GMAES,71
10/11/2021,GQES_Q+1,70.53
10/11/2021,GYES_Y+1,48.34
09/11/2021,GDAES_D+1,71
09/11/2021,GMAES,75.65
09/11/2021,GQES_Q+1,70.32
09/11/2021,GYES_Y+1,47.17
08/11/2021,GDAES_D+1,77.74
08/11/2021,GMAES,78.48
08/11/2021,GQES_Q+1,73.01
08/11/2021,GYES_Y+1,48.64
07/11/2021,GDAES_D+1,73.47
06/11/2021,GDAES_D+1,71.57
05/11/2021,GDAES_D+1,70.51
05/11/2021,GMAES,74.95
05/11/2021,GQES_Q+1,72.1
05/11/2021,GYES_Y+1,48.97
04/11/2021,GDAES_D+1,71.65
04/11/2021,GMAES,74.15
04/11/2021,GQES_Q+1,72.1
04/11/2021,GYES_Y+1,48.97
03/11/2021,GDAES_D+1,76.84
03/11/2021,GMAES,78.7
03/11/2021,GQES_Q+1,79.52
03/11/2021,GYES_Y+1,52.07
02/11/2021,GDAES_D+1,69.25
02/11/2021,GMAES,70.9
02/11/2021,GQES_Q+1,67.49
02/11/2021,GYES_Y+1,47.65
01/11/2021,GDAES_D+1,63.7
01/11/2021,GMAES,68.5
01/11/2021,GQES_Q+1,63.66
01/11/2021,GYES_Y+1,47.06
31/10/2021,GDAES_D+1,60.25
30/10/2021,GDAES_D+1,62.86
29/10/2021,GDAES_D+1,60.32
29/10/2021,GMAES,64.75
29/10/2021,GQES_Q+1,73.37
29/10/2021,GYES_Y+1,51.98
28/10/2021,GDAES_D+1,73.75
28/10/2021,GMAES,75.51
28/10/2021,GQES_Q+1,73.37
28/10/2021,GYES_Y+1,51.98
27/10/2021,GDAES_D+1,84.65
27/10/2021,GMAES,87.59
27/10/2021,GQES_Q+1,85.65
27/10/2021,GYES_Y+1,56.58
26/10/2021,GDAES_D+1,89.31
26/10/2021,GMAES,91.6
26/10/2021,GQES_Q+1,87.6
26/10/2021,GYES_Y+1,56.58
25/10/2021,GDAES_D+1,91.01
25/10/2021,GMAES,89.8
25/10/2021,GQES_Q+1,93
25/10/2021,GYES_Y+1,43.85
24/10/2021,GDAES_D+1,95.1
23/10/2021,GDAES_D+1,91.75
22/10/2021,GDAES_D+1,88.4
22/10/2021,GMAES,89
22/10/2021,GQES_Q+1,93
22/10/2021,GYES_Y+1,43.85
21/10/2021,GDAES_D+1,88.24
21/10/2021,GMAES,91.2
21/10/2021,GQES_Q+1,93
21/10/2021,GYES_Y+1,43.85
20/10/2021,GDAES_D+1,90.21
20/10/2021,GMAES,96.17
20/10/2021,GQES_Q+1,93
20/10/2021,GYES_Y+1,43.85
19/10/2021,GDAES_D+1,86.76
19/10/2021,GMAES,91.75
19/10/2021,GQES_Q+1,93
19/10/2021,GYES_Y+1,43.85
18/10/2021,GDAES_D+1,85.66
18/10/2021,GMAES,92.48
18/10/2021,GQES_Q+1,
18/10/2021,GYES_Y+1,43.85
17/10/2021,GDAES_D+1,94.49
16/10/2021,GDAES_D+1,90.01
15/10/2021,GDAES_D+1,89.95
15/10/2021,GMAES,89.6
15/10/2021,GQES_Q+1,
15/10/2021,GYES_Y+1,43.85
14/10/2021,GDAES_D+1,98.52
