;FEATURES;TRAIN DATE;TEST DATE;MODEL;MODEL_DESCRIPTION;FEATURE SELECTION;FORECAST_HORIZON;PAST_HISTORY;NORMALIZATION;TRAINING_TIME;TEST_TIME;mape;mae
15;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.5;24;168;zscore;49.34064698219299;0.0437390804290771;18.1250144214636;19.87490105345063
16;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.25;24;168;zscore;39.43282985687256;0.0437057018280029;18.316952308982174;20.13912648744688
17;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.1;24;168;zscore;19.069324731826782;0.0439205169677734;19.34684590481276;21.42737848202263
18;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);SelectKBest 0.5;24;168;zscore;11.651979684829712;0.3563244342803955;15.067582853860111;18.656528932203635
19;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);SelectKBest 0.25;24;168;zscore;9.951545476913452;0.2748115062713623;15.54320876430952;19.067364426285867
20;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);SelectKBest 0.1;24;168;zscore;6.7291247844696045;0.2094624042510986;18.03125319899761;20.442904954274763
21;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.5;24;168;zscore;53.52148747444153;0.043882131576538;17.61368297677619;20.01334141640635
22;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.25;24;168;zscore;43.462289571762085;0.0441172122955322;17.585557422911485;19.92571014440693
23;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.1;24;168;zscore;19.674281358718872;0.0439693927764892;19.366447814875404;21.48700957200869
24;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);SelectKBest 0.5;24;168;zscore;11.158279657363892;0.4502582550048828;31.94547074417336;46.953246655549
25;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);SelectKBest 0.25;24;168;zscore;9.357686519622805;0.3426239490509033;31.882420036089847;46.83880971034458
26;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);SelectKBest 0.1;24;168;zscore;6.131648302078247;0.31414794921875;36.008584795246215;48.84582303620259
27;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.5;24;168;zscore;52.00518774986267;0.0543975830078125;35.12162676956713;47.81840516778987
28;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.25;24;168;zscore;40.69334959983826;0.0437037944793701;35.39542119208363;48.42108987378356
29;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.1;24;168;zscore;19.74942803382873;0.1808521747589111;37.36212308889172;49.599158871916416
30;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);SelectKBest 0.5;24;168;zscore;11.539931058883669;0.4153976440429687;30.81877663013395;45.15634740059366
31;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);SelectKBest 0.25;24;168;zscore;9.997186422348022;0.3243117332458496;31.08327177190343;45.26096538347868
32;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);SelectKBest 0.1;24;168;zscore;6.294194221496582;0.3016016483306885;36.16537384280476;48.92444276530821
33;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.5;24;168;zscore;57.27322673797608;0.0440175533294677;33.55108034892807;45.93566348696367
34;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.25;24;168;zscore;45.39251136779785;0.0438225269317626;33.52330865840514;45.8897504466644
35;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);SelectKBest 0.1;24;168;zscore;20.533700942993164;0.0443661212921142;37.38635210084918;49.65133285108349
36;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);SelectKBest 0.5;24;168;zscore;12.467058658599854;0.3711283206939697;67.57201593956314;47.811474599491824
37;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);SelectKBest 0.25;24;168;zscore;10.118560791015623;0.3251631259918213;66.76557456283066;47.51959715632111
38;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);SelectKBest 0.1;24;168;zscore;7.093195676803589;0.3048055171966553;61.351106959328376;44.84577887759636
39;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);SelectKBest 0.5;24;168;zscore;53.51692390441895;0.0445866584777832;69.43238738435267;46.73066084779396
40;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);SelectKBest 0.25;24;168;zscore;42.5434513092041;0.0443708896636962;68.83190143004465;46.31070132194646
41;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);SelectKBest 0.1;24;168;zscore;19.711366415023804;0.0439081192016601;66.86187131839863;45.648335922249096
42;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);SelectKBest 0.5;24;168;zscore;12.903004169464111;0.424271821975708;68.20761892481067;49.39191713613582
43;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);SelectKBest 0.25;24;168;zscore;10.907505989074709;0.2887609004974365;67.74116401297653;48.86405618619598
44;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);SelectKBest 0.1;24;168;zscore;7.157628297805786;0.2652957439422607;61.13287792425288;44.77355565892177
45;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);SelectKBest 0.5;24;168;zscore;59.22544097900391;0.0539562702178955;70.45590128501158;47.28143697589164
46;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);SelectKBest 0.25;24;168;zscore;46.24303197860718;0.0444457530975341;70.41692430146715;47.151223645643896
47;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);SelectKBest 0.1;24;168;zscore;20.30870294570923;0.04410958290100098;66.93552014101469;45.69343707756586
