FEATURES,TRAIN DATE,TEST DATE,MODEL,MODEL_DESCRIPTION,FORECAST_HORIZON,PAST_HISTORY,NORMALIZATION,TRAINING_TIME,TEST_TIME,mape,mae
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,m5p,(10 25),24,24,zscore,40.5982842445374,0.618631362915039,30.9192752115347,45.1884427896785
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,m5p,(10 25),24,48,zscore,44.9864118099213,0.734538555145264,29.3950792221163,43.7065998798226
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,m5p,(10 25),24,72,zscore,52.0420784950256,0.782918214797974,27.7593457155354,42.0299861465508
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,m5p,(10 25),24,168,zscore,77.9887561798096,0.714921712875366,30.9024970598206,45.1511675719057
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,rf,(300 10 4 1),24,24,zscore,86.9917583465576,0.103477716445923,33.4179523180379,46.4301282343053
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,rf,(300 10 4 1),24,48,zscore,142.902806043625,0.107457399368286,33.026009350639,45.4360501923119
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,rf,(300 10 4 1),24,72,zscore,198.986737012863,0.109172582626343,31.4384808286397,44.5646135504558
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,rf,(300 10 4 1),24,168,zscore,423.993628740311,0.10785961151123,33.5909950090079,45.9614259940589
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,m5p,(10 25),24,24,zscore,48.6327111721039,0.66589879989624,44.5890381390858,41.8074736788173
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,m5p,(10 25),24,48,zscore,55.027717590332,0.619315624237061,53.280675087286,47.3411184624713
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,m5p,(10 25),24,72,zscore,66.7727766036987,0.792381048202515,57.4040819817949,47.9210490746276
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,m5p,(10 25),24,168,zscore,100.01901268959,0.839189052581787,68.3900963124491,49.5955951204399
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,rf,(300 10 4 1),24,24,zscore,99.4919626712799,0.0921339988708496,46.4074732960264,41.0726427057126
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,rf,(300 10 4 1),24,48,zscore,155.333871841431,0.099844217300415,55.2709913289969,45.6801139529174
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,rf,(300 10 4 1),24,72,zscore,200.821027755737,0.10299801826477,58.1666225047637,45.6201885149274
['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,rf,(300 10 4 1),24,168,zscore,421.396627902985,0.0963265895843506,70.8969964192085,47.5183484548787
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,m5p,(10 25),24,24,zscore,43.2786900997162,0.707711219787598,12.9814703163356,22.7087565091498
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,m5p,(10 25),24,48,zscore,48.2270302772522,0.658479452133179,12.7013064544341,22.4709530227566
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,m5p,(10 25),24,72,zscore,55.6120793819428,0.688087701797485,12.1606533336308,21.5531335412198
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,m5p,(10 25),24,168,zscore,80.6333031654358,0.747949600219727,12.7800432211987,22.3494490084515
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,rf,(300 10 4 1),24,24,zscore,68.3914785385132,0.106656312942505,12.5247854191014,22.4504945044563
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,rf,(300 10 4 1),24,48,zscore,123.352415084839,0.105230808258057,12.0316322393708,21.7252008011224
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,rf,(300 10 4 1),24,72,zscore,178.537023305893,0.105548858642578,11.4390687950781,21.1754779022668
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-01-01 00:00:00 - 2022-01-01 00:00:00,2022-01-01 00:00:00 - 2022-02-01 00:00:00,rf,(300 10 4 1),24,168,zscore,399.365480661392,0.105207681655884,11.728291063815,22.03850783621
