;FEATURES;TRAIN DATE;TEST DATE;MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;NORMALIZATION;TRAINING_TIME;TEST_TIME;mape;mae
68;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;61.99911189079285;0.0142555236816406;14.906817767397616;21.55675230700953
69;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;110.79999613761902;0.0150420665740966;14.61741521541047;20.421126789888227
70;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;147.63941144943237;0.0355427265167236;15.52818600227137;20.38094998659633
71;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;323.3319811820984;0.0253880023956298;16.49236587273976;19.374800610419125
72;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;24;zscore;8.226982116699219;0.2781894207000732;14.615136094969856;19.70699700428908
73;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;48;zscore;8.842768430709839;0.3876130580902099;14.717896726777717;19.65419341341433
74;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;72;zscore;11.346816301345823;0.3779001235961914;15.345202615057996;19.91263590478581
75;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;168;zscore;18.308942317962646;0.4259593486785888;15.269050822900594;18.84513525854502
76;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;24;zscore;16.70537567138672;0.0439622402191162;16.042323383055127;19.846175630310245
77;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;48;zscore;34.495911836624146;0.0443265438079834;16.512732297307114;20.20670429550077
78;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;72;zscore;52.548757791519165;0.0443866252899169;16.887978266316857;20.29391544539066
79;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;168;zscore;116.87599897384644;0.0557432174682617;17.91659553841389;20.420639699262374
80;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;81.00557541847229;0.0344595909118652;15.970420773947502;22.814877753966748
81;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;146.56656575202942;0.0204417705535888;15.572469729215848;21.55667503950459
82;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;217.4698088169098;0.0214922428131103;15.378945596780625;20.39179156659165
83;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;479.5705392360687;0.0251650810241699;15.809565399999665;20.16456035440405
84;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;24;zscore;9.53005027770996;0.37343430519104;15.05345910343796;20.737515385579943
85;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;48;zscore;11.548155784606934;0.3999254703521728;14.96316088123043;20.3927462069426
86;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;72;zscore;14.81389570236206;0.434084415435791;15.74899057546413;21.276479122980767
87;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;168;zscore;26.51526427268982;0.4173359870910644;16.39156722610493;20.71180641727336
88;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;24;zscore;28.262637615203857;0.0441391468048095;15.82269266090201;20.754288181368967
89;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;48;zscore;57.72217679023743;0.0438048839569091;16.02337443871206;20.13421594646864
90;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;72;zscore;85.24552583694458;0.0564558506011962;16.504144071123974;20.221163611920232
91;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;168;zscore;198.71554470062256;0.0689535140991211;17.012401124617753;19.984182425904272
92;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;125.6442687511444;0.0180397033691406;17.304617527659147;26.10653824644024
93;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;233.7598557472229;0.0193307399749755;16.047078969327675;23.405716974271872
94;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;340.9334049224853;0.0223100185394287;15.417206981761414;21.812988277044667
95;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;775.3891525268555;0.0281589031219482;16.635516107494347;23.494621966715084
96;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;24;zscore;10.018557786941528;0.4298515319824219;17.064674013669627;26.01158385567236
97;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;48;zscore;13.073781490325928;0.3780229091644287;17.56467710552398;28.42096132533369
98;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;72;zscore;16.23822593688965;0.4275605678558349;17.099089666341705;27.258748039945846
99;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;168;zscore;28.73206877708435;0.3747894763946533;17.633703169635893;29.41976783595852
100;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;24;zscore;31.24414253234864;0.044947862625122;15.152335899263774;23.03941152131156
101;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;48;zscore;66.15545296669006;0.0551261901855468;15.788694628825084;24.38563240685015
102;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;72;zscore;91.90162181854248;0.0548810958862304;16.564458954800514;24.677506337503257
103;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;168;zscore;218.72403025627136;0.0444138050079345;16.29218001631952;22.68502228701451
104;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;132.40550565719604;0.023198127746582;16.55278381022977;26.18438743076009
105;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;251.63482236862183;0.0207457542419433;16.36769727905215;25.93002535394552
106;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;370.5125415325165;0.0324757099151611;16.038770120673252;25.27653099516467
107;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;883.8538291454315;0.0273895263671875;15.347109561217762;23.578385161931227
108;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;24;zscore;12.628941774368286;0.3591785430908203;17.550993512033532;25.892924793969527
109;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;48;zscore;16.92896056175232;0.3710343837738037;18.85135151161276;29.00176660010385
110;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;72;zscore;21.80732703208924;0.4195683002471924;18.8520070371922;30.4766074835439
111;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;168;zscore;43.69459414482117;0.3724129199981689;18.60563716404415;30.07055104326201
112;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;24;zscore;51.76344299316406;0.0553314685821533;16.864133291766237;26.055350489058515
113;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;48;zscore;99.28083896636964;0.0549287796020507;16.510669876223343;25.3341942938444
114;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;72;zscore;4820120.953006506;0.0550453662872314;17.728127350575214;26.791587505717548
115;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;168;zscore;342.3454325199127;0.0454611778259277;17.89968637657483;26.23480907560617
116;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;190.0373017787933;0.0205419063568115;15.268638435235117;23.74069788791001
117;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;367.9633903503418;0.034813642501831;15.92239140846814;25.53919854514668
118;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;512.3092529773712;0.0260345935821533;17.225690963461812;27.94103226104625
119;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;1200.3376438617706;0.028944969177246;16.36877946698542;25.512055521773824
120;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);24;24;zscore;7.514210939407349;0.3257477283477783;32.15544561476717;46.52843211920397
121;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);24;48;zscore;7.165142297744751;0.4221205711364746;31.33247858892468;46.08897485052348
122;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);24;72;zscore;8.934799909591675;0.4146070480346679;29.02890887208263;43.96889621378445
123;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);24;168;zscore;13.917421340942385;0.3622188568115234;31.96964031197848;47.20622154138848
124;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);24;24;zscore;11.121516942977903;0.0550320148468017;35.02148367408652;48.1306415812586
125;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);24;48;zscore;22.40557265281677;0.0543677806854248;33.90451519695238;46.5017089352684
126;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);24;72;zscore;33.20363259315491;0.0562479496002197;32.23028041347267;45.61559069649238
127;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);24;168;zscore;83.96838188171387;0.0442988872528076;35.02661740952658;47.82294086037624
128;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;58.0959038734436;0.0205347537994384;33.956611323082186;50.84541231770049
129;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;104.00435185432434;0.0221052169799804;33.17863094383092;50.20013757151621
130;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;147.43099117279053;0.0197424888610839;32.19381001220669;49.441735655590975
131;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;327.21367716789246;0.0220870971679687;32.75820671511029;49.291765139247154
132;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);24;24;zscore;8.107337236404419;0.2650542259216308;32.13716367510711;46.25900013603994
133;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);24;48;zscore;8.791401147842407;0.3761880397796631;31.94050890375533;46.38786252549157
134;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);24;72;zscore;10.48777198791504;0.4063820838928222;30.54540757145526;44.72576102767656
135;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;m5p;(10 25);24;168;zscore;18.12243723869324;0.4192590713500976;33.031519968361366;47.03241460012584
136;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);24;24;zscore;17.001914739608765;0.0543048381805419;35.61148062697837;48.55293408165358
137;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);24;48;zscore;36.88907861709595;0.0543303489685058;34.97443213549934;47.2739519486184
138;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-09-01 00:00:00 - 2022-09-01 00:00:00;2022-09-01 00:00:00 - 2022-10-01 00:00:00;rf;(300 10 4 1);24;72;zscore;51.04923939704895;0.0546529293060302;33.3955241979241;46.18492561694539
